recipe_id,title,description,protein_grams,calories,carbs,fat,fiber,sugar,diet_tags,meal_type,site_name,site_domain,prep_time,prep_time_minutes,cook_time_minutes,total_time_minutes,difficulty,servings,canonical_url,image_url,intent_class
proteincookies-co-chocolate-chip-protein-cookies,Chocolate Chip Protein Cookies,"These classic soft and chewy chocolate chip cookies are not only irresistibly delicious but also packed with a powerful protein punch, delivering 21g of protein per serving to support your active lifestyle. The rich, melt-in-your-mouth texture pairs perfectly with the sweet bursts of chocolate ch...",21,165,14,6,2,5,Chocolate Chip;Classic;Whey,desserts,ProteinCookies,proteincookies.co,PT10M,10,12,22,Easy,12 cookies,https://proteincookies.co/chocolate-chip-protein-cookies.html,https://proteincookies.co/recipe_images/chocolate-chip-protein-cookies.jpg,quick-snack
proteincookies-co-peanut-butter-protein-cookies,Peanut Butter Protein Cookies,"Rich, flourless peanut butter cookies with an incredible 24g of protein per cookie, making them the perfect guilt-free indulgence for fitness enthusiasts. Crafted with just four simple ingredients, these cookies deliver a satisfying chewy texture with a slightly crispy edge, complemented by the c...",24,185,10,9,2,4,Peanut Butter;Flourless;25g+;High Protein,desserts,ProteinCookies,proteincookies.co,PT8M,8,10,18,Beginner,12 cookies,https://proteincookies.co/peanut-butter-protein-cookies.html,https://proteincookies.co/recipe_images/peanut-butter-protein-cookies.jpg,quick-snack
proteincookies-co-no-bake-protein-cookies,No-Bake Protein Cookies,"These no-bake protein cookies are a quick and effortless treat, ready in just 15 minutes, making them perfect for busy mornings or post-workout fuel. Packed with 18 grams of high-quality protein per serving, they support muscle recovery and keep you feeling satisfied longer, thanks to their balan...",18,155,16,6,3,6,No-Bake;Quick;Meal Prep,desserts,ProteinCookies,proteincookies.co,PT10M,10,0,15,Beginner,12 cookies,https://proteincookies.co/no-bake-protein-cookies.html,https://proteincookies.co/recipe_images/no-bake-protein-cookies.jpg,meal-prep
proteincookies-co-oatmeal-raisin-protein-cookies,Oatmeal Raisin Protein Cookies,"Soft and chewy oatmeal raisin cookies with 19g protein make for a satisfying, macro-friendly snack that hits all the right notes. Packed with high-quality protein, these cookies support muscle recovery and keep you energized throughout the day, making them perfect for post-workout refueling or a ...",19,170,20,5,3,8,Oatmeal;Raisin;Fiber;Classic,desserts,ProteinCookies,proteincookies.co,PT12M,12,14,26,Easy,12 cookies,https://proteincookies.co/oatmeal-raisin-protein-cookies.html,https://proteincookies.co/recipe_images/oatmeal-raisin-protein-cookies.jpg,quick-snack
proteincookies-co-double-chocolate-protein-cookies,Double Chocolate Protein Cookies,"Decadent double chocolate cookies with 22g protein are the perfect indulgence for chocolate lovers seeking a nutritious boost. Rich cocoa creates a deep, satisfying flavor, while chocolate chips add delightful bursts of sweetness with every bite. These cookies boast a balanced macro profile—high ...",22,175,15,7,3,5,Chocolate;Double Chocolate;Decadent;Dessert,desserts,ProteinCookies,proteincookies.co,PT10M,10,12,22,Easy,12 cookies,https://proteincookies.co/double-chocolate-protein-cookies.html,https://proteincookies.co/recipe_images/double-chocolate-protein-cookies.jpg,quick-snack
proteincookies-co-snickerdoodle-protein-cookies,Snickerdoodle Protein Cookies,"Soft, pillowy snickerdoodle cookies rolled in cinnamon sugar with 20g of protein per serving. A guilt-free version of the classic that tastes just like the original. These cookies boast a tender, melt-in-your-mouth texture with a delightful cinnamon-sugar crust that offers just the right crunch o...",20,160,14,5,1,4,Snickerdoodle;Cinnamon;Classic,desserts,ProteinCookies,proteincookies.co,PT12M,12,10,22,Easy,12 cookies,https://proteincookies.co/snickerdoodle-protein-cookies.html,https://proteincookies.co/recipe_images/snickerdoodle-protein-cookies.jpg,quick-snack
proteincookies-co-birthday-cake-protein-cookies,Birthday Cake Protein Cookies,"These festive funfetti-style protein cookies are a delightful way to indulge while fueling your body with 19 grams of high-quality protein per serving, making them an excellent choice for post-workout recovery or a satisfying snack. Packed with vibrant sprinkles and rich cake batter flavor, each ...",19,165,16,5,1,6,Birthday Cake;Funfetti;Sprinkles;Dessert,desserts,ProteinCookies,proteincookies.co,PT10M,10,10,20,Easy,12 cookies,https://proteincookies.co/birthday-cake-protein-cookies.html,https://proteincookies.co/recipe_images/birthday-cake-protein-cookies.jpg,quick-snack
proteincookies-co-vegan-protein-cookies,Vegan Protein Cookies,"These 100% plant-based protein cookies pack a powerful nutritional punch, boasting 17 grams of high-quality protein per serving to fuel your muscles and keep you satisfied throughout the day. Made with wholesome pea protein and flax eggs, they offer a dairy-free, vegan-friendly indulgence that do...",17,160,18,6,3,6,Vegan;Plant-Based;Dairy-Free,desserts,ProteinCookies,proteincookies.co,PT15M,15,12,27,Medium,12 cookies,https://proteincookies.co/vegan-protein-cookies.html,https://proteincookies.co/recipe_images/vegan-protein-cookies.jpg,vegan
proteincookies-co-gluten-free-protein-cookies,Gluten-Free Protein Cookies,"These celiac-safe gluten-free protein cookies are a perfect guilt-free indulgence, packing a robust 20 grams of high-quality protein per serving to support your active lifestyle. Made with certified gluten-free oats and almond flour, they offer a satisfying chewy texture with a slight crunch on t...",20,170,12,8,2,5,Gluten-Free;GF;Celiac-Safe,desserts,ProteinCookies,proteincookies.co,PT10M,10,12,22,Easy,12 cookies,https://proteincookies.co/gluten-free-protein-cookies.html,https://proteincookies.co/recipe_images/gluten-free-protein-cookies.jpg,gluten-free
proteincookies-co-protein-cookie-dough-bites,Protein Cookie Dough Bites,"These edible cookie dough bites pack an impressive 15 grams of protein per serving, making them an ideal guilt-free treat to fuel your active lifestyle. Crafted with heat-treated flour and egg-free ingredients, they’re completely safe to enjoy raw—perfect for a quick, satisfying snack or dessert....",15,140,14,6,2,5,Cookie Dough;No-Bake;Edible;Quick,desserts,ProteinCookies,proteincookies.co,PT15M,15,0,15,Beginner,24 bites,https://proteincookies.co/protein-cookie-dough-bites.html,https://proteincookies.co/recipe_images/protein-cookie-dough-bites.jpg,quick-snack
proteincookies-co-white-chocolate-macadamia-protein-cookies,White Chocolate Macadamia Protein Cookies,"These buttery white chocolate macadamia cookies are a bakery-style treat that packs an impressive 18g of protein per serving, making them the perfect indulgence for your active lifestyle. Crafted to be macro-friendly without sacrificing flavor, they offer a rich, melt-in-your-mouth texture with a...",18,180,15,9,2,6,White Chocolate;Macadamia;Bakery-Style;Dessert,desserts,ProteinCookies,proteincookies.co,PT12M,12,12,24,Easy,12 cookies,https://proteincookies.co/white-chocolate-macadamia-protein-cookies.html,https://proteincookies.co/recipe_images/white-chocolate-macadamia-protein-cookies.jpg,quick-snack
proteincookies-co-protein-cookies-for-kids,Protein Cookies for Kids,"Kid-approved protein cookies with 12g of muscle-building protein and no artificial sweeteners make for a nutritious and delicious treat that parents can feel good about packing into lunchboxes or serving as an after-school snack. These cookies offer a satisfying combination of a soft, chewy cente...",12,130,16,4,2,7,Kids;Lunchbox;School-Safe,desserts,ProteinCookies,proteincookies.co,PT10M,10,10,20,Beginner,16 cookies,https://proteincookies.co/protein-cookies-for-kids.html,https://proteincookies.co/recipe_images/protein-cookies-for-kids.jpg,kid-friendly
proteincookies-co-cottage-cheese-protein-cookies,Cottage Cheese Protein Cookies,"These ultra-soft protein cookies, crafted with creamy cottage cheese, pack a impressive 23 grams of muscle-building protein per serving, making them an ideal choice for post-workout recovery or a satisfying snack to fuel your day. The secret ingredient not only boosts the protein content but also...",23,155,12,4,1,4,Cottage Cheese;Soft;Moist;Whole Food,desserts,ProteinCookies,proteincookies.co,PT10M,10,14,24,Easy,12 cookies,https://proteincookies.co/cottage-cheese-protein-cookies.html,https://proteincookies.co/recipe_images/cottage-cheese-protein-cookies.jpg,quick-snack
